iter	Passed	Remaining
819	1222	268
820	1223	266
821	1224	265
822	1225	263
823	1226	262
824	1227	260
825	1228	258
826	1229	257
827	1230	255
828	1231	254
829	1232	252
830	1233	250
831	1234	249
832	1236	247
833	1237	246
834	1239	244
835	1240	243
836	1241	241
837	1242	240
838	1243	238
839	1244	237
840	1245	235
841	1246	233
842	1247	232
843	1249	230
844	1250	229
845	1252	227
846	1253	226
847	1254	224
848	1255	223
849	1256	221
850	1257	220
851	1258	218
852	1259	217
853	1260	215
854	1262	214
855	1263	212
856	1264	210
857	1282	212
858	1283	210
859	1285	209
860	1286	207
861	1287	206
862	1288	204
863	1289	202
864	1290	201
865	1291	199
866	1293	198
867	1294	196
868	1295	195
869	1297	193
870	1298	192
871	1299	190
872	1301	189
873	1302	187
874	1303	186
875	1305	184
876	1306	183
877	1308	181
878	1309	180
879	1310	178
880	1312	177
881	1313	175
882	1315	174
883	1316	172
884	1318	171
885	1319	169
886	1320	168
887	1322	166
888	1323	165
889	1324	163
890	1327	162
891	1328	160
892	1330	159
893	1331	157
894	1333	156
895	1334	154
896	1335	153
897	1336	151
898	1338	150
899	1339	148
900	1341	147
901	1343	145
902	1344	144
903	1346	142
904	1347	141
905	1348	139
906	1350	138
907	1351	136
908	1352	135
909	1354	133
910	1356	132
911	1358	131
912	1359	129
913	1360	128
914	1362	126
915	1363	125
916	1364	123
917	1366	122
918	1367	120
919	1369	119
920	1370	117
921	1372	116
922	1374	114
923	1375	113
924	1377	111
925	1378	110
926	1380	108
927	1381	107
928	1383	105
929	1384	104
930	1386	102
931	1388	101
932	1389	99
933	1391	98
934	1392	96
935	1394	95
936	1395	93
937	1396	92
938	1398	90
939	1399	89
940	1401	87
941	1402	86
942	1404	84
943	1405	83
944	1407	81
945	1408	80
946	1410	78
947	1411	77
948	1412	75
949	1414	74
950	1416	72
951	1417	71
952	1419	69
953	1420	68
954	1422	67
955	1423	65
956	1424	64
957	1425	62
958	1426	61
959	1428	59
960	1430	58
961	1431	56
962	1433	55
963	1434	53
964	1436	52
965	1437	50
966	1438	49
967	1439	47
968	1441	46
969	1442	44
970	1443	43
971	1445	41
972	1446	40
973	1448	38
974	1449	37
975	1451	35
976	1452	34
977	1453	32
978	1455	31
979	1456	29
980	1457	28
981	1460	26
982	1461	25
983	1462	23
984	1463	22
985	1465	20
986	1466	19
987	1467	17
988	1468	16
989	1469	14
990	1470	13
991	1471	11
992	1473	10
993	1475	8
994	1476	7
995	1477	5
996	1478	4
997	1479	2
998	1480	1
999	1481	0
